Korean,English,Japanese
Day 1 : 인천공항,Day 1 : Incheon International Airport,
"당신의 아름다운 한국 여행은 인천공항으로부터 시작됩니다. 첫날 목표는 무사히 예약한 호텔이 있는 ""서울역""까지 도착하는 것입니다.","Your beautiful trip to Korea starts from Incheon International Airport. The first day's goal is to safely reach ""Seoul Station,"" where the hotel is booked.",
플레이,PLAY,
Day 2 : 조선의 수도,Day 2 : The Capital of  Chosen,
"서울은 대한민국의 수도이자, 500년의 역사를 자랑하는 조선의 수도입니다. 당신은 첫 관광지로 조선의 법궁인 경복궁으로 가서 사진을 간직하고자 합니다.","Seoul is the capital of Korea and the capital of Joseon, which boasts a history of 500 years. You want to go to Gyeongbokgung Palace, the Joseon court, as your first tourist destination and keep the picture.",
Day 3 : 한강의 비극,Day 3 : The Tragedy of Han River,
"1950년에 1000년 동안 하나의 국가였던 한국은 분열되어 서로에게 총구를 겨누었습니다. 전쟁의 아픔을 담고 있는 전쟁기념관을 관람하고, 한국전쟁 타임라인을 만드세요!","In 1950, Korea, which was one country for 1,000 years, was divided and pointed guns at each other. See the War Memorial of Korea, which contains the pain of war, and create a Korean War timeline!",
Day 4 : 남촌,Day 4 : Namchon,
명동은 130년의 역사를 가진 한국 최고의 상업 구역입니다. 그러나 그 배경에는 한국인들의 아픔이 담겨있는데..,Myeong-dong is Korea's top commercial district with 130 years of history. But the background is the pain of Koreans..,
그 자리는 노년층을 위한\n노약자석입니다!,This seat is for elderly!,
